DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,PCL
COLOR,#CF20CD
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
192,0
232,0
239,0
266,0
285,0
287,0
292,0
293,0
294,0
300,0
301,0
303,0
306,1
316,0
317,0
329,1
354,0
358,0
470,0
471,1
479,0
511,1
512,0
549,0
573,0
599,0
615,1
663,0
670,0
678,0
687,1
876,0
959,0
1085,0
1270,0
1271,0
1273,0
1282,0
1288,0
1306,0
1390,0
1391,0
1393,1
1396,0
1397,0
1402,0
1404,0
1405,0
1408,1
1409,1
1421,0
1422,0
1423,0
1428,0
1451,1
1479,0
1482,0
1488,1
1491,1
1667,1
1673,0
1720,0
1785,0
1814,1
1816,1
1824,0
1829,0
1830,0
1831,1
1833,0
1852,1
1877,0
1881,0
1887,0
1892,1
1893,0
1911,0
1931,1
1934,1
1941,0
1952,1
1989,1
2017,0
2020,0
2021,1
2026,0
2030,0
2065,0
2072,0
4847,0
4929,0
4959,0
5041,0
5045,0
5046,0
5057,0
5059,0
5061,1
5062,1
5065,0
5068,0
5076,1
5077,0
5078,0
5079,0
5081,1
5082,0
5087,1
5306,0
5322,0
5325,0
5331,0
5341,0
5365,0
5418,1
5481,0
5507,1
5516,1
5530,0
5537,0
5541,0
5544,1
5547,0
5580,1
5599,0
12917,0
27334,0
28031,0
28066,0
28095,0
28214,0
28454,0
28565,1
28572,1
28574,0
28576,0
29382,0
29387,1
29443,1
29446,0
29494,0
29523,0
29856,1
29875,0
29916,1
29917,0
31958,1
33050,0
33178,0
33203,1
33907,0
33910,1
33919,0
33920,0
33921,0
33938,0
33941,0
34028,0
34030,1
34038,0
34073,1
34381,0
34413,0
35703,0
35841,1
36080,0
36460,0
36630,1
36655,0
36773,0
36819,1
37482,0
37632,1
37998,0
38033,1
38945,0
40215,1
40324,0
40382,1
40383,1
40412,0
40483,0
40571,0
40658,0
41061,0
41276,0
41413,0
41959,0
42895,0
43263,1
43354,1
43355,0
43767,0
44252,0
44672,0
44751,0
45277,0
45462,0
46173,0
46472,1
47763,0
47877,1
47878,0
47881,1
47886,0
47920,0
48100,0
48296,0
48865,0
49224,0
50422,1
50741,0
51101,0
51513,0
51671,1
53356,0
53408,0
53522,1
54061,0
54914,0
54915,0
56811,1
58117,0
58172,0
58343,0
59298,0
59754,0
60443,0
60552,0
60912,0
61235,0
61645,0
61652,0
63131,0
63820,0
63821,0
64104,0
64495,0
64518,0
64636,0
64647,0
65048,1
66867,0
67313,0
67342,0
67358,1
67581,0
67826,0
68192,0
68247,1
68258,1
69392,0
69393,0
69488,0
69763,0
69773,0
69780,0
69781,1
69784,0
69808,1
70808,0
71999,0
72361,0
75292,1
75612,1
75659,1
75750,0
76020,1
76021,1
76022,1
76731,1
76759,0
76760,1
76761,1
77133,1
78556,1
79858,0
80866,0
80867,1
84724,0
84753,1
85698,0
85828,0
86188,0
86664,0
86668,0
86839,0
89141,0
91492,0
92950,0
93594,0
94624,0
94625,0
103731,0
103733,0
103734,0
103836,0
104087,1
104355,0
105351,0
106590,0
108980,0
114497,1
117187,1
119078,0
128442,0
134375,0
137658,0
137662,0
143450,0
144786,0
154046,0
155003,0
162425,1
163361,1
169177,0
169388,1
175245,0
180282,0
181124,0
188908,1
196015,0
197461,0
198730,0
199592,0
202952,0
208445,1
215132,0
215580,0
216778,0
218284,0
226011,0
226117,0
236100,0
241728,0
254161,1
264951,0
293386,0
293387,0
295352,0
310350,0
319939,0
324768,0
332410,0
335286,0
365349,0
380021,0
401470,0
405444,0
409290,0
412384,0
413882,1
415216,0
437017,0
454130,0
476551,0
477689,0
483545,0
487698,0
521520,0
547461,0
553151,1
570156,0
581189,0
582475,0
587753,0
589330,0
592050,0
653930,1
671092,0
676599,0
693231,0
746128,1
796325,0
797277,1
798071,0
857252,1
859144,0
887085,0
887100,0
929575,0
936053,0
941527,0
979712,0
1036739,0
1105325,0
1136066,0
1148157,0
1407621,0
1547922,0
1707700,0
1707701,0
1708783,1
1715220,0
1715235,0
1715236,0
1715253,1
1755431,0
1755435,0
1756125,0
1758471,0
1769349,0
1849494,0
1869214,0
1869345,1
1871049,1
1871054,0
1871086,1
1871184,1
1871332,1
1871614,0
1871618,0
1871623,0
1872094,0
1872122,0
1872427,1
1872437,0
1873897,0
1882945,1
1886637,0
1898440,0
1902915,1
1914427,0
1934310,0
1934313,0
1960874,1
1963841,0
1970644,0
1981611,0
1981612,0
1982014,0
2044285,0
2046025,0
2046349,1
2050588,0
2420204,0
