DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,PLA
COLOR,#3823E9
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
Alteromonas sp.,0
Flavobacterium sp.,0
Comamonas testosteroni,0
Pseudomonas aeruginosa,0
Burkholderia cepacia,0
Pseudomonas fluorescens,0
Pseudomonas mendocina,0
Pseudomonas putida,0
Pseudomonas sp.,1
Pseudomonas stutzeri,0
Pseudomonas syringae,0
Ralstonia pickettii,0
Agrobacterium tumefaciens,0
Acinetobacter baumannii,0
Acinetobacter calcoaceticus,0
Moraxella sp.,0
Alcaligenes faecalis,0
Alcaligenes sp.,0
Pantoea agglomerans,0
Klebsiella pneumoniae,0
Serratia marcescens,0
Vibrio alginolyticus,0
Vibrio parahaemolyticus,0
Bdellovibrio bacteriovorus,0
Micrococcus luteus,0
Micrococcus sp.,0
Micrococcus lylae,0
Staphylococcus epidermidis,0
Staphylococcus xylosus,0
Streptococcus sp.,0
Bacillus amyloliquefaciens,0
Aneurinibacillus aneurinilyticus,1
Brevibacillus brevis,1
Bacillus cereus,0
Bacillus circulans,0
Bacillus licheniformis,1
Bacillus megaterium,1
Bacillus mycoides,0
Bacillus pumilus,0
Bacillus sp. _in_ Bacteria_,1
Lysinibacillus sphaericus,0
Geobacillus stearothermophilus,1
Bacillus subtilis,1
Bacillus thuringiensis,0
Paenibacillus amylolyticus,1
Bacillus smithii,1
Virgibacillus halodenitrificans,0
Clostridium acetobutylicum,0
Clostridium botulinum,0
Arthrobacter sp.,0
Rhizobium viscosum,0
Corynebacterium sp.,0
Mycobacterium sp.,0
Amycolatopsis methanolica,1
Actinokineospora fastidiosa,1
Nocardia asteroides,0
Rhodococcus rhodochrous,0
Rhodococcus ruber,0
Rhodococcus sp.,1
Rhodococcus erythropolis,0
Saccharomonospora viridis,0
Micromonospora echinospora,1
Micromonospora viridifaciens,1
Streptomyces griseus,0
Streptomyces sp.,1
Streptomyces thermovulgaris,0
Streptomyces badius,0
Streptomyces thermoviolaceus,0
Actinomadura sp.,1
Streptoalloteichus hindustanus,1
Thermobifida fusca,0
Thermoactinomyces vulgaris,1
Kibdelosporangium aridum,1
Kitasatospora phosalacinea,0
Saccharothrix australiensis,1
Meyerozyma guilliermondii,0
Debaryomyces hansenii,0
Acremonium sp. _in_ Ascomycota_,0
Aspergillus clavatus,0
Aspergillus flavus,1
Aspergillus niger,0
Aspergillus oryzae,0
Aspergillus sp.,0
Aspergillus tubingensis,0
Penicillium chrysogenum,0
Penicillium griseofulvum,0
Penicillium janthinellum,0
Penicillium sp.,0
Penicillium roqueforti,1
Thermoascus aurantiacus,0
Phanerochaete chrysosporium,1
Pleurotus ostreatus,0
Trametes versicolor,0
Bjerkandera adusta,1
Agaricus bisporus,0
Lentinus tigrinus,0
Papiliotrema laurentii,0
