DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	All Species Bar
COLOR	#0000ff
FIELD_COLORS	#0000ff
FIELD_LABELS	All Species Bar
DATA
192	10
232	10
239	10
266	10
285	10
287	10
292	10
293	10
294	10
300	10
301	10
303	10
306	10
316	10
317	10
329	10
354	10
358	10
470	10
471	10
479	10
511	10
512	10
549	10
573	10
599	10
615	10
663	10
670	10
678	10
687	10
876	10
959	10
1085	10
1270	10
1271	10
1273	10
1282	10
1288	10
1306	10
1390	10
1391	10
1393	10
1396	10
1397	10
1402	10
1404	10
1405	10
1408	10
1409	10
1421	10
1422	10
1423	10
1428	10
1451	10
1479	10
1482	10
1488	10
1491	10
1667	10
1673	10
1720	10
1785	10
1814	10
1816	10
1824	10
1829	10
1830	10
1831	10
1833	10
1852	10
1877	10
1881	10
1887	10
1892	10
1893	10
1911	10
1931	10
1934	10
1941	10
1952	10
1989	10
2017	10
2020	10
2021	10
2026	10
2030	10
2065	10
2072	10
4847	10
4929	10
4959	10
5041	10
5045	10
5046	10
5057	10
5059	10
5061	10
5062	10
5065	10
5068	10
5076	10
5077	10
5078	10
5079	10
5081	10
5082	10
5087	10
5306	10
5322	10
5325	10
5331	10
5341	10
5365	10
5418	10
5481	10
5507	10
5516	10
5530	10
5537	10
5541	10
5544	10
5547	10
5580	10
5599	10
12917	10
27334	10
28031	10
28066	10
28095	10
28214	10
28454	10
28565	10
28572	10
28574	10
28576	10
29382	10
29387	10
29443	10
29446	10
29494	10
29523	10
29856	10
29875	10
29916	10
29917	10
31958	10
33050	10
33178	10
33203	10
33907	10
33910	10
33919	10
33920	10
33921	10
33938	10
33941	10
34028	10
34030	10
34038	10
34073	10
34381	10
34413	10
35703	10
35841	10
36080	10
36460	10
36630	10
36655	10
36773	10
36819	10
37482	10
37632	10
37998	10
38033	10
38945	10
40215	10
40324	10
40382	10
40383	10
40412	10
40483	10
40571	10
40658	10
41061	10
41276	10
41413	10
41959	10
42895	10
43263	10
43354	10
43355	10
43767	10
44252	10
44672	10
44751	10
45277	10
45462	10
46173	10
46472	10
47763	10
47877	10
47878	10
47881	10
47886	10
47920	10
48100	10
48296	10
48865	10
49224	10
50422	10
50741	10
51101	10
51513	10
51671	10
53356	10
53408	10
53522	10
54061	10
54914	10
54915	10
56811	10
58117	10
58172	10
58343	10
59298	10
59754	10
60443	10
60552	10
60912	10
61235	10
61645	10
61652	10
63131	10
63820	10
63821	10
64104	10
64495	10
64518	10
64636	10
64647	10
65048	10
66867	10
67313	10
67342	10
67358	10
67581	10
67826	10
68192	10
68247	10
68258	10
69392	10
69393	10
69488	10
69763	10
69773	10
69780	10
69781	10
69784	10
69808	10
70808	10
71999	10
72361	10
75292	10
75612	10
75659	10
75750	10
76020	10
76021	10
76022	10
76731	10
76759	10
76760	10
76761	10
77133	10
78556	10
79858	10
80866	10
80867	10
84724	10
84753	10
85698	10
85828	10
86188	10
86664	10
86668	10
86839	10
89141	10
91492	10
92950	10
93594	10
94624	10
94625	10
103731	10
103733	10
103734	10
103836	10
104087	10
104355	10
105351	10
106590	10
108980	10
114497	10
117187	10
119078	10
128442	10
134375	10
137658	10
137662	10
143450	10
144786	10
154046	10
155003	10
162425	10
163361	10
169177	10
169388	10
175245	10
180282	10
181124	10
188908	10
196015	10
197461	10
198730	10
199592	10
202952	10
208445	10
215132	10
215580	10
216778	10
218284	10
226011	10
226117	10
236100	10
241728	10
254161	10
264951	10
293386	10
293387	10
295352	10
310350	10
319939	10
324768	10
332410	10
335286	10
365349	10
380021	10
401470	10
405444	10
409290	10
412384	10
413882	10
415216	10
437017	10
454130	10
476551	10
477689	10
483545	10
487698	10
521520	10
547461	10
553151	10
570156	10
581189	10
582475	10
587753	10
589330	10
592050	10
653930	10
671092	10
676599	10
693231	10
746128	10
796325	10
797277	10
798071	10
857252	10
859144	10
887085	10
887100	10
929575	10
936053	10
941527	10
979712	10
1036739	10
1105325	10
1136066	10
1148157	10
1407621	10
1547922	10
1707700	10
1707701	10
1708783	10
1715220	10
1715235	10
1715236	10
1715253	10
1755431	10
1755435	10
1756125	10
1758471	10
1769349	10
1849494	10
1869214	10
1869345	10
1871049	10
1871054	10
1871086	10
1871184	10
1871332	10
1871614	10
1871618	10
1871623	10
1872094	10
1872122	10
1872427	10
1872437	10
1873897	10
1882945	10
1886637	10
1898440	10
1902915	10
1914427	10
1934310	10
1934313	10
1960874	10
1963841	10
1970644	10
1981611	10
1981612	10
1982014	10
2044285	10
2046025	10
2046349	10
2050588	10
2420204	10
