DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Available genomes
COLOR,#FF0000
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
192,1
232,1
239,1
266,1
285,1
287,1
292,1
293,1
294,1
300,1
301,1
303,1
306,1
316,1
317,1
329,1
354,1
358,1
470,1
471,1
479,1
511,1
512,0
549,1
573,1
599,0
615,1
663,1
670,1
678,1
687,1
876,1
959,1
1085,1
1270,1
1271,0
1273,1
1282,1
1288,1
1306,1
1390,1
1391,1
1393,1
1396,1
1397,1
1402,1
1404,1
1405,1
1408,1
1409,1
1421,1
1422,1
1423,1
1428,1
1451,1
1479,1
1482,1
1488,1
1491,1
1667,0
1673,0
1720,1
1785,1
1814,0
1816,0
1824,1
1829,1
1830,1
1831,1
1833,1
1852,1
1877,1
1881,1
1887,1
1892,1
1893,1
1911,1
1931,1
1934,1
1941,1
1952,0
1989,0
2017,1
2020,0
2021,1
2026,1
2030,1
2065,1
2072,1
4847,0
4929,1
4959,1
5041,1
5045,0
5046,1
5057,0
5059,1
5061,1
5062,1
5065,0
5068,1
5076,1
5077,1
5078,1
5079,1
5081,0
5082,1
5087,0
5306,1
5322,1
5325,0
5331,0
5341,1
5365,0
5418,0
5481,1
5507,1
5516,1
5530,1
5537,1
5541,0
5544,1
5547,1
5580,1
5599,1
12917,0
27334,1
28031,1
28066,1
28095,1
28214,1
28454,1
28565,0
28572,1
28574,0
28576,0
29382,1
29387,1
29443,1
29446,0
29494,1
29523,1
29856,1
29875,1
29916,0
29917,1
31958,1
33050,1
33178,1
33203,1
33907,1
33910,1
33919,0
33920,0
33921,0
33938,1
33941,1
34028,1
34030,0
34038,1
34073,1
34381,0
34413,0
35703,1
35841,1
36080,1
36460,0
36630,1
36655,0
36773,0
36819,0
37482,1
37632,0
37998,0
38033,0
38945,1
40215,1
40324,1
40382,1
40383,0
40412,0
40483,1
40571,1
40658,0
41061,1
41276,1
41413,0
41959,0
42895,1
43263,1
43354,1
43355,0
43767,1
44252,1
44672,0
44751,1
45277,0
45462,1
46173,0
46472,0
47763,1
47877,1
47878,1
47881,0
47886,1
47920,1
48100,1
48296,1
48865,0
49224,0
50422,1
50741,1
51101,1
51513,0
51671,1
53356,1
53408,1
53522,0
54061,0
54914,1
54915,1
56811,1
58117,1
58172,1
58343,1
59298,0
59754,1
60443,0
60552,1
60912,1
61235,1
61645,1
61652,1
63131,0
63820,0
63821,0
64104,1
64495,1
64518,1
64636,0
64647,1
65048,0
66867,1
67313,0
67342,0
67358,0
67581,1
67826,1
68192,0
68247,0
68258,0
69392,1
69393,1
69488,0
69763,0
69773,0
69780,0
69781,1
69784,0
69808,0
70808,0
71999,1
72361,1
75292,0
75612,1
75659,0
75750,1
76020,0
76021,1
76022,1
76731,1
76759,1
76760,1
76761,1
77133,1
78556,1
79858,0
80866,1
80867,1
84724,1
84753,1
85698,1
85828,0
86188,1
86664,1
86668,1
86839,0
89141,1
91492,1
92950,0
93594,0
94624,1
94625,1
103731,0
103733,1
103734,1
103836,1
104087,1
104355,0
105351,1
106590,1
108980,1
114497,0
117187,1
119078,0
128442,1
134375,1
137658,1
137662,0
143450,1
144786,0
154046,1
155003,0
162425,1
163361,0
169177,1
169388,1
175245,0
180282,1
181124,0
188908,1
196015,0
197461,1
198730,1
199592,1
202952,1
208445,1
215132,0
215580,1
216778,1
218284,1
226011,0
226117,0
236100,0
241728,0
254161,1
264951,1
293386,1
293387,1
295352,0
310350,0
319939,1
324768,1
332410,0
335286,1
365349,1
380021,1
401470,1
405444,1
409290,1
412384,1
413882,1
415216,0
437017,0
454130,1
476551,0
477689,0
483545,1
487698,1
521520,0
547461,0
553151,1
570156,1
581189,0
582475,1
587753,1
589330,1
592050,1
653930,1
671092,0
676599,1
693231,0
746128,1
796325,0
797277,1
798071,0
857252,1
859144,1
887085,0
887100,0
929575,0
936053,1
941527,0
979712,0
1036739,0
1105325,1
1136066,0
1148157,1
1407621,0
1547922,1
1707700,0
1707701,0
1708783,1
1715220,0
1715235,0
1715236,0
1715253,0
1755431,0
1755435,0
1756125,0
1758471,0
1769349,0
1849494,0
1869214,1
1869345,1
1871049,1
1871054,1
1871086,1
1871184,0
1871332,0
1871614,0
1871618,0
1871623,0
1872094,1
1872122,1
1872427,1
1872437,1
1873897,1
1882945,1
1886637,1
1898440,0
1902915,0
1914427,0
1934310,0
1934313,0
1960874,0
1963841,0
1970644,0
1981611,0
1981612,0
1982014,0
2044285,0
2046025,0
2046349,0
2050588,0
2420204,0
