DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Clear zone
COLOR,#1958AD
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
192,0
232,1
239,0
266,0
285,1
287,1
292,1
293,0
294,1
300,1
301,0
303,1
306,1
316,1
317,0
329,1
354,0
358,1
470,0
471,1
479,0
511,1
512,1
549,0
573,1
599,0
615,1
663,1
670,1
678,0
687,1
876,0
959,1
1085,1
1270,0
1271,1
1273,0
1282,0
1288,0
1306,0
1390,1
1391,1
1393,1
1396,1
1397,0
1402,1
1404,1
1405,0
1408,1
1409,1
1421,0
1422,0
1423,1
1428,0
1451,1
1479,0
1482,0
1488,1
1491,1
1667,1
1673,0
1720,1
1785,0
1814,1
1816,1
1824,0
1829,0
1830,0
1831,1
1833,0
1852,1
1877,1
1881,1
1887,0
1892,1
1893,1
1911,0
1931,1
1934,1
1941,0
1952,1
1989,1
2017,1
2020,0
2021,1
2026,1
2030,1
2065,1
2072,1
4847,0
4929,1
4959,1
5041,1
5045,0
5046,0
5057,0
5059,1
5061,1
5062,1
5065,1
5068,0
5076,1
5077,0
5078,1
5079,1
5081,1
5082,1
5087,1
5306,0
5322,0
5325,0
5331,1
5341,1
5365,0
5418,1
5481,1
5507,1
5516,1
5530,1
5537,1
5541,1
5544,1
5547,1
5580,1
5599,1
12917,1
27334,0
28031,0
28066,1
28095,1
28214,1
28454,0
28565,1
28572,1
28574,0
28576,0
29382,0
29387,1
29443,1
29446,1
29494,0
29523,0
29856,1
29875,0
29916,1
29917,1
31958,1
33050,0
33178,0
33203,1
33907,0
33910,1
33919,1
33920,1
33921,1
33938,0
33941,0
34028,1
34030,1
34038,0
34073,1
34381,1
34413,0
35703,0
35841,1
36080,0
36460,1
36630,1
36655,0
36773,0
36819,1
37482,1
37632,1
37998,1
38033,0
38945,1
40215,1
40324,1
40382,1
40383,0
40412,1
40483,1
40571,1
40658,0
41061,1
41276,0
41413,0
41959,0
42895,1
43263,1
43354,1
43355,1
43767,1
44252,0
44672,0
44751,1
45277,0
45462,0
46173,1
46472,1
47763,1
47877,1
47878,0
47881,1
47886,1
47920,1
48100,1
48296,0
48865,0
49224,0
50422,1
50741,0
51101,1
51513,0
51671,1
53356,1
53408,0
53522,1
54061,1
54914,0
54915,1
56811,1
58117,1
58172,1
58343,1
59298,1
59754,0
60443,1
60552,1
60912,1
61235,1
61645,0
61652,0
63131,0
63820,1
63821,0
64104,1
64495,0
64518,0
64636,0
64647,1
65048,1
66867,1
67313,1
67342,1
67358,1
67581,0
67826,0
68192,1
68247,1
68258,1
69392,1
69393,1
69488,1
69763,0
69773,0
69780,1
69781,1
69784,0
69808,1
70808,1
71999,0
72361,1
75292,1
75612,1
75659,1
75750,0
76020,1
76021,1
76022,1
76731,1
76759,0
76760,1
76761,1
77133,1
78556,1
79858,1
80866,1
80867,1
84724,1
84753,1
85698,0
85828,1
86188,0
86664,0
86668,1
86839,1
89141,1
91492,0
92950,1
93594,1
94624,1
94625,0
103731,1
103733,1
103734,1
103836,0
104087,1
104355,0
105351,0
106590,1
108980,1
114497,1
117187,1
119078,1
128442,0
134375,0
137658,0
137662,1
143450,1
144786,0
154046,0
155003,1
162425,1
163361,1
169177,0
169388,1
175245,0
180282,0
181124,1
188908,1
196015,0
197461,1
198730,0
199592,0
202952,1
208445,1
215132,1
215580,1
216778,0
218284,1
226011,1
226117,1
236100,1
241728,1
254161,1
264951,0
293386,1
293387,1
295352,0
310350,0
319939,1
324768,1
332410,0
335286,0
365349,0
380021,1
401470,1
405444,0
409290,1
412384,1
413882,1
415216,1
437017,0
454130,0
476551,0
477689,1
483545,0
487698,0
521520,0
547461,1
553151,1
570156,1
581189,0
582475,0
587753,1
589330,1
592050,1
653930,1
671092,0
676599,1
693231,0
746128,1
796325,0
797277,1
798071,1
857252,1
859144,0
887085,1
887100,1
929575,0
936053,0
941527,0
979712,1
1036739,1
1105325,0
1136066,0
1148157,1
1407621,1
1547922,0
1707700,1
1707701,1
1708783,1
1715220,1
1715235,1
1715236,1
1715253,1
1755431,1
1755435,0
1756125,0
1758471,1
1769349,0
1849494,1
1869214,1
1869345,0
1871049,1
1871054,0
1871086,1
1871184,1
1871332,1
1871614,1
1871618,1
1871623,1
1872094,0
1872122,1
1872427,1
1872437,0
1873897,1
1882945,1
1886637,1
1898440,0
1902915,0
1914427,1
1934310,0
1934313,1
1960874,1
1963841,1
1970644,1
1981611,0
1981612,1
1982014,1
2044285,0
2046025,1
2046349,0
2050588,1
2420204,1
