DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,SEM
COLOR,#D2B8F5
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
192,0
232,1
239,0
266,0
285,0
287,1
292,1
293,0
294,1
300,1
301,0
303,1
306,1
316,1
317,1
329,0
354,0
358,0
470,1
471,0
479,0
511,0
512,0
549,0
573,1
599,0
615,1
663,1
670,1
678,1
687,0
876,0
959,0
1085,0
1270,1
1271,1
1273,1
1282,1
1288,1
1306,0
1390,1
1391,1
1393,1
1396,1
1397,1
1402,1
1404,0
1405,1
1408,1
1409,1
1421,0
1422,0
1423,1
1428,1
1451,1
1479,0
1482,1
1488,0
1491,0
1667,1
1673,1
1720,1
1785,0
1814,0
1816,0
1824,1
1829,1
1830,1
1831,1
1833,0
1852,0
1877,1
1881,1
1887,1
1892,0
1893,0
1911,0
1931,1
1934,0
1941,0
1952,0
1989,1
2017,1
2020,0
2021,0
2026,1
2030,1
2065,0
2072,1
4847,1
4929,1
4959,0
5041,0
5045,0
5046,0
5057,1
5059,1
5061,1
5062,1
5065,1
5068,1
5076,1
5077,0
5078,0
5079,0
5081,1
5082,1
5087,1
5306,1
5322,1
5325,0
5331,1
5341,0
5365,1
5418,0
5481,0
5507,1
5516,0
5530,0
5537,1
5541,0
5544,1
5547,1
5580,1
5599,0
12917,0
27334,0
28031,1
28066,0
28095,0
28214,0
28454,1
28565,1
28572,0
28574,1
28576,1
29382,1
29387,0
29443,0
29446,0
29494,0
29523,0
29856,1
29875,1
29916,1
29917,1
31958,1
33050,0
33178,1
33203,1
33907,1
33910,0
33919,1
33920,1
33921,1
33938,0
33941,0
34028,1
34030,0
34038,1
34073,0
34381,0
34413,1
35703,1
35841,0
36080,1
36460,0
36630,0
36655,0
36773,0
36819,0
37482,1
37632,1
37998,1
38033,1
38945,0
40215,0
40324,1
40382,1
40383,0
40412,0
40483,0
40571,1
40658,0
41061,1
41276,0
41413,0
41959,0
42895,1
43263,0
43354,0
43355,1
43767,0
44252,1
44672,0
44751,1
45277,0
45462,1
46173,1
46472,1
47763,0
47877,0
47878,1
47881,0
47886,1
47920,0
48100,0
48296,1
48865,0
49224,0
50422,1
50741,0
51101,1
51513,0
51671,0
53356,0
53408,1
53522,0
54061,0
54914,0
54915,0
56811,0
58117,0
58172,1
58343,0
59298,0
59754,1
60443,0
60552,0
60912,1
61235,0
61645,1
61652,0
63131,1
63820,0
63821,0
64104,0
64495,0
64518,1
64636,0
64647,0
65048,0
66867,0
67313,0
67342,0
67358,0
67581,0
67826,0
68192,0
68247,0
68258,0
69392,1
69393,1
69488,1
69763,0
69773,0
69780,1
69781,1
69784,0
69808,1
70808,1
71999,1
72361,1
75292,0
75612,0
75659,0
75750,1
76020,0
76021,0
76022,0
76731,0
76759,1
76760,0
76761,0
77133,0
78556,0
79858,1
80866,1
80867,0
84724,1
84753,1
85698,1
85828,0
86188,1
86664,1
86668,0
86839,0
89141,1
91492,0
92950,1
93594,0
94624,1
94625,1
103731,1
103733,1
103734,1
103836,0
104087,0
104355,0
105351,1
106590,1
108980,0
114497,1
117187,1
119078,0
128442,1
134375,1
137658,0
137662,1
143450,0
144786,1
154046,1
155003,0
162425,1
163361,0
169177,0
169388,1
175245,0
180282,1
181124,0
188908,0
196015,0
197461,1
198730,1
199592,0
202952,1
208445,0
215132,0
215580,0
216778,0
218284,1
226011,0
226117,0
236100,0
241728,0
254161,1
264951,1
293386,0
293387,0
295352,1
310350,0
319939,0
324768,0
332410,0
335286,1
365349,0
380021,1
401470,0
405444,1
409290,0
412384,0
413882,0
415216,0
437017,0
454130,0
476551,0
477689,0
483545,0
487698,1
521520,1
547461,1
553151,0
570156,0
581189,0
582475,1
587753,1
589330,0
592050,0
653930,0
671092,1
676599,0
693231,1
746128,1
796325,0
797277,0
798071,1
857252,0
859144,1
887085,1
887100,1
929575,1
936053,0
941527,0
979712,0
1036739,0
1105325,0
1136066,1
1148157,0
1407621,0
1547922,1
1707700,0
1707701,0
1708783,0
1715220,1
1715235,0
1715236,0
1715253,1
1755431,0
1755435,0
1756125,0
1758471,1
1769349,1
1849494,1
1869214,1
1869345,1
1871049,0
1871054,0
1871086,1
1871184,0
1871332,0
1871614,1
1871618,1
1871623,1
1872094,0
1872122,1
1872427,1
1872437,1
1873897,0
1882945,1
1886637,1
1898440,0
1902915,0
1914427,0
1934310,0
1934313,0
1960874,1
1963841,1
1970644,0
1981611,0
1981612,1
1982014,0
2044285,0
2046025,0
2046349,0
2050588,0
2420204,0
