DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Weight loss
COLOR,#1A6512
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
192,0
232,0
239,0
266,0
285,1
287,1
292,1
293,1
294,1
300,1
301,0
303,1
306,1
316,1
317,1
329,1
354,0
358,0
470,1
471,0
479,1
511,1
512,1
549,1
573,1
599,0
615,1
663,0
670,0
678,1
687,0
876,0
959,0
1085,0
1270,1
1271,1
1273,1
1282,1
1288,1
1306,1
1390,1
1391,1
1393,1
1396,1
1397,0
1402,1
1404,0
1405,1
1408,1
1409,1
1421,1
1422,0
1423,1
1428,1
1451,1
1479,0
1482,1
1488,1
1491,1
1667,1
1673,1
1720,1
1785,1
1814,0
1816,0
1824,0
1829,0
1830,1
1831,1
1833,0
1852,0
1877,0
1881,0
1887,1
1892,0
1893,0
1911,1
1931,1
1934,0
1941,1
1952,0
1989,0
2017,0
2020,0
2021,1
2026,0
2030,1
2065,0
2072,0
4847,0
4929,1
4959,0
5041,0
5045,1
5046,0
5057,1
5059,1
5061,1
5062,1
5065,1
5068,1
5076,1
5077,0
5078,0
5079,1
5081,1
5082,0
5087,0
5306,1
5322,1
5325,1
5331,0
5341,0
5365,0
5418,0
5481,0
5507,1
5516,1
5530,1
5537,1
5541,0
5544,1
5547,1
5580,1
5599,1
12917,1
27334,0
28031,1
28066,0
28095,0
28214,0
28454,1
28565,0
28572,0
28574,1
28576,0
29382,1
29387,1
29443,1
29446,0
29494,1
29523,0
29856,1
29875,0
29916,1
29917,1
31958,0
33050,0
33178,1
33203,1
33907,1
33910,0
33919,0
33920,0
33921,0
33938,0
33941,0
34028,0
34030,1
34038,1
34073,1
34381,1
34413,0
35703,1
35841,0
36080,0
36460,0
36630,1
36655,1
36773,1
36819,0
37482,0
37632,1
37998,1
38033,1
38945,0
40215,0
40324,1
40382,1
40383,1
40412,0
40483,0
40571,0
40658,0
41061,1
41276,1
41413,1
41959,1
42895,1
43263,0
43354,0
43355,0
43767,0
44252,1
44672,0
44751,1
45277,0
45462,1
46173,0
46472,1
47763,1
47877,0
47878,1
47881,0
47886,1
47920,1
48100,1
48296,1
48865,1
49224,0
50422,1
50741,0
51101,1
51513,0
51671,1
53356,0
53408,1
53522,0
54061,1
54914,0
54915,0
56811,0
58117,0
58172,1
58343,0
59298,0
59754,1
60443,0
60552,0
60912,0
61235,0
61645,1
61652,1
63131,1
63820,1
63821,1
64104,0
64495,0
64518,0
64636,1
64647,0
65048,0
66867,0
67313,0
67342,0
67358,0
67581,1
67826,1
68192,0
68247,0
68258,0
69392,1
69393,1
69488,1
69763,1
69773,1
69780,1
69781,1
69784,1
69808,0
70808,0
71999,1
72361,0
75292,0
75612,0
75659,0
75750,1
76020,0
76021,0
76022,0
76731,0
76759,1
76760,0
76761,0
77133,1
78556,0
79858,1
80866,1
80867,1
84724,1
84753,0
85698,1
85828,0
86188,1
86664,1
86668,0
86839,0
89141,1
91492,0
92950,1
93594,1
94624,1
94625,1
103731,0
103733,0
103734,0
103836,0
104087,0
104355,0
105351,1
106590,1
108980,0
114497,1
117187,0
119078,1
128442,1
134375,1
137658,0
137662,0
143450,1
144786,0
154046,0
155003,0
162425,1
163361,0
169177,1
169388,1
175245,0
180282,1
181124,0
188908,0
196015,0
197461,0
198730,1
199592,0
202952,0
208445,0
215132,0
215580,0
216778,0
218284,0
226011,1
226117,0
236100,1
241728,0
254161,1
264951,0
293386,0
293387,0
295352,1
310350,1
319939,0
324768,0
332410,1
335286,1
365349,0
380021,0
401470,1
405444,1
409290,0
412384,1
413882,0
415216,0
437017,0
454130,1
476551,0
477689,1
483545,0
487698,1
521520,0
547461,0
553151,0
570156,1
581189,0
582475,0
587753,1
589330,0
592050,1
653930,0
671092,1
676599,0
693231,1
746128,1
796325,0
797277,0
798071,0
857252,0
859144,1
887085,0
887100,0
929575,0
936053,1
941527,0
979712,0
1036739,0
1105325,0
1136066,1
1148157,0
1407621,0
1547922,1
1707700,1
1707701,0
1708783,0
1715220,0
1715235,0
1715236,1
1715253,1
1755431,0
1755435,0
1756125,0
1758471,0
1769349,1
1849494,0
1869214,0
1869345,1
1871049,1
1871054,0
1871086,0
1871184,1
1871332,1
1871614,1
1871618,1
1871623,0
1872094,0
1872122,0
1872427,0
1872437,0
1873897,1
1882945,1
1886637,0
1898440,1
1902915,1
1914427,0
1934310,0
1934313,1
1960874,0
1963841,0
1970644,0
1981611,1
1981612,1
1982014,0
2044285,1
2046025,1
2046349,0
2050588,0
2420204,0
